barename,spkr,age_mos,gender,phones,word,session,t1,t2_ph,transcription,target,testnumber,onset_f1_ifc,onset_f1,onset_f1_ac,qrtr_f1_ifc,qrtr_f1,qrtr_f1_ac,midpt_f1_ifc,midpt_f1,midpt_f1_ac,thrqrtr_f1_ifc,thrqrtr_f1,thrqrtr_f1_ac,endpt_f1_ifc,endpt_f1,endpt_f1_ac,onset_f2_ifc,onset_f2,onset_f2_ac,qrtr_f2_ifc,qrtr_f2,qrtr_f2_ac,midpt_f2_ifc,midpt_f2,midpt_f2_ac,thrqrtr_f2_ifc,thrqrtr_f2,thrqrtr_f2_ac,endpt_f2_ifc,endpt_f2,endpt_f2_ac,onset_f3_ifc,onset_f3,onset_f3_ac,qrtr_f3_ifc,qrtr_f3,qrtr_f3_ac,midpt_f3_ifc,midpt_f3,midpt_f3_ac,thrqrtr_f3_ifc,thrqrtr_f3,thrqrtr_f3_ac,endpt_f3_ifc,endpt_f3,endpt_f3_ac,f0,onset_sec,qrtr_sec,midpt_sec,thrqrtr_sec,endpt_sec,onset_sec_ifc,qrtr_sec_ifc,midpt_sec_ifc,thrqrtr_sec_ifc,endpt_sec_ifc,onset_sec_ac,qrtr_sec_ac,midpt_sec_ac,thrqrtr_sec_ac,endpt_sec_ac,f1_onset_med,f1_qrtr_med,f1_midpt_med,f1_thrqrtr_med,f1_endpt_med,f2_onset_med,f2_qrtr_med,f2_midpt_med,f2_thrqrtr_med,f2_endpt_med,f3_onset_med,f3_qrtr_med,f3_midpt_med,f3_thrqrtr_med,f3_endpt_med,
001_39_child_FS_3_rain_Test_64_wr_4_r,1,39,FS,ER1,rain,3,0.095,0.17,wr,r,64,459.3,352.4861787,349.9605006,572.7,406.9813875,430.3870149,592.8,516.9886587,543.4473285,617.1,477.1084747,500.0664422,861.9,388.1822093,391.8817645,1832.4,1556.29941,1534.610845,1855,1638.927812,1633.710046,1881.5,1743.583369,1737.543697,1834.8,1695.483724,1689.60744,1844.9,1596.204063,1571.505957,3284.1,3297.90219,3320.720168,3320.8,3510.558676,3503.690546,3430.7,3491.943384,3554.570504,3373.8,3485.25741,3502.551965,3271.3,3436.265581,3424.089592,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,352.4861787,430.3870149,543.4473285,500.0664422,391.8817645,1556.29941,1638.927812,1743.583369,1695.483724,1596.204063,3297.90219,3503.690546,3491.943384,3485.25741,3424.089592,
001_39_child_FS_3_reading_Test_28_wr_4_r,1,39,FS,ER1,reading,3,0.095,0.17,wr,r,28,368.4,368.0381216,370.532706,386.6,373.3494897,375.3134182,404.8,391.2497564,395.2198561,428.9,410.9496364,413.8549747,471.6,428.2442251,434.8696177,1254.7,1134.561591,1154.703187,1267.7,1131.919732,1133.199706,1409.7,1123.362613,1137.862478,1363.3,1071.262278,1080.26988,1274.1,1053.537241,1072.213423,3183.4,3511.386079,3989.174236,3179.5,4087.933894,4054.986098,3120.9,3826.2282,3837.121051,3104.3,4140.051076,4109.948299,3212.5,4129.845941,4054.249314,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,368.4,375.3134182,395.2198561,413.8549747,434.8696177,1154.703187,1133.199706,1137.862478,1080.26988,1072.213423,3511.386079,4054.986098,3826.2282,4109.948299,4054.249314,
001_39_child_FS_3_rock_Test_16_wr_4_r,1,39,FS,ER1,rock,3,0.095,0.17,wr,r,16,827.7,701.6220096,691.7635149,801.9,825.9704618,833.8751849,724.8,737.4978942,641.0292685,700.9,560.725849,570.5033465,747.8,667.0679662,668.0927741,1878.4,2048.808044,2040.569095,1937.2,2014.154327,1998.151921,1812.5,2046.938059,2043.015281,1703.2,2018.048785,2070.624911,1568.3,1744.98678,1729.21966,3027.9,3269.902227,3199.710004,2987.4,3351.667981,3398.133274,3074.4,3479.496062,3669.772076,3059.7,3484.213492,3496.774072,2122.2,3609.678627,3542.541967,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,701.6220096,825.9704618,724.8,570.5033465,668.0927741,2040.569095,1998.151921,2043.015281,2018.048785,1729.21966,3199.710004,3351.667981,3479.496062,3484.213492,3542.541967,
001_39_child_FS_3_rock_Test_82_wr_4_r,1,39,FS,ER1,rock,3,0.095,0.17,wr,r,82,343.3,333.837909,334.133991,379.7,347.7659959,353.5474704,465.3,371.5892206,375.9333341,481.5,431.9758862,445.0885073,643.6,378.9237292,382.7319839,2338.2,1821.948139,1874.918188,2217.8,1662.791003,1552.045625,1457.9,1158.010871,1211.506094,1789.7,1321.919108,1345.788132,1314.1,1278.843673,1301.729078,3478.6,3842.568522,3847.270625,3478.6,3805.007052,3793.110011,3055.4,3567.119913,3611.173424,3026.6,3194.957627,3172.787219,2796.8,3178.230998,3173.971746,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,334.133991,353.5474704,375.9333341,445.0885073,382.7319839,1874.918188,1662.791003,1211.506094,1345.788132,1301.729078,3842.568522,3793.110011,3567.119913,3172.787219,3173.971746,
001_39_child_FS_3_rocking_Test_32_wr_4_r,1,39,FS,ER1,rocking,3,0.095,0.17,wr,r,32,817.1,454.9691592,477.0907364,555.8,470.4983919,496.6643504,772.6,521.8805351,542.9000514,795.5,687.9339178,698.610705,800,741.4330434,746.0048504,2132.5,975.5443903,993.9375871,1208.5,1018.189957,1053.463492,1327.2,1104.362477,1119.209597,1551.5,1239.58242,1258.456732,1667.1,1404.470266,1482.510398,3365.6,4422.156134,3233.478206,2938.6,4414.256626,3207.312085,2905.2,4337.019817,4284.143651,3295.4,4379.714401,4387.474031,3020.3,4386.918627,4388.74786,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,477.0907364,496.6643504,542.9000514,698.610705,746.0048504,993.9375871,1053.463492,1119.209597,1258.456732,1482.510398,3365.6,3207.312085,4284.143651,4379.714401,4386.918627,
001_39_child_FS_3_waiting_Test_56_w_4_w,1,39,FS,UW1,waiting,3,0.095,0.17,w,w,56,393.1,387.5422461,393.4622166,374.7,370.7159336,370.2980438,378.7,370.5839859,371.3475388,511.2,392.383003,400.2533634,649.1,415.3364052,432.2605507,2045.7,2149.726673,2151.490016,1683.9,2069.656791,2031.689408,1701.2,2087.718095,2078.177979,2119.5,1969.85066,1961.582511,2646.1,2066.185938,2041.567021,3284,3369.919015,3361.883943,3184.7,3372.690106,3349.667057,3308.9,3379.756904,3355.425094,3271.4,3339.823394,3330.149881,3304.1,3324.973988,3303.689643,426.3,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,393.1,370.7159336,371.3475388,400.2533634,432.2605507,2149.726673,2031.689408,2078.177979,1969.85066,2066.185938,3361.883943,3349.667057,3355.425094,3330.149881,3304.1,
001_39_child_FS_3_walk_Test_63_w_4_w,1,39,FS,UW1,walk,3,0.095,0.17,w,w,63,389.2,372.7169148,380.8780771,571.8,375.4525329,383.8135886,576.5,541.3014846,555.6430066,602.4,548.962771,554.5945516,815.1,569.8653211,576.8755242,2121.3,900.1293972,2384.507339,1454.6,875.9103041,2153.731442,1353.6,1211.047864,1268.092222,1165.8,1089.048119,1101.070591,1391.3,1135.702632,1143.213041,3322,2357.543312,3562.112482,3071.6,2203.176754,3241.109312,3204.2,3023.23068,2985.476806,2912.8,3032.088548,3019.169144,3030.5,2809.376479,2738.654559,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,380.8780771,383.8135886,555.6430066,554.5945516,576.8755242,2121.3,1454.6,1268.092222,1101.070591,1143.213041,3322,3071.6,3023.23068,3019.169144,2809.376479,
001_39_child_FS_3_watch_Test_54_w_4_w,1,39,FS,UW1,watch,3,0.095,0.17,w,w,54,521.1,483.1513487,486.6871926,545.1,501.9727401,507.3920877,620.5,466.7179896,460.006919,588.2,383.9666334,400.4765691,612.7,377.6948216,387.5637314,1326.9,1325.739677,1324.952334,1400.6,1317.982683,1322.418715,1357.9,1352.857547,1358.792425,1251.8,1199.469525,1203.807134,1279,1223.541724,1224.09579,3230.9,3968.777012,4043.721729,3026.6,3914.153673,3893.816734,3148.4,4109.123865,4039.838107,3375.7,4246.123897,4181.095893,3026.5,4206.656279,4207.900594,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,486.6871926,507.3920877,466.7179896,400.4765691,387.5637314,1325.739677,1322.418715,1357.9,1203.807134,1224.09579,3968.777012,3893.816734,4039.838107,4181.095893,4206.656279,
001_39_child_FS_3_water_Test_45_w_4_w,1,39,FS,UW1,water,3,0.095,0.17,w,w,45,500.2,434.5691906,440.802963,439.2,440.0180593,451.0109633,535,379.6785397,396.2815735,401,357.7623601,368.1657487,399.5,350.9188047,360.3280566,2228.6,2624.177444,2661.707154,2284.1,2188.524702,2165.557956,1296.1,930.5684679,967.1365543,1555,1113.466318,1149.416682,1645.5,1074.207052,1113.86339,3369.1,3801.082013,3827.625036,3220.3,4249.34273,4199.257313,3041.1,3903.794075,3930.764747,3016.1,3741.039724,3735.745157,2853.2,3688.08521,3662.898597,456.5,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,440.802963,440.0180593,396.2815735,368.1657487,360.3280566,2624.177444,2188.524702,967.1365543,1149.416682,1113.86339,3801.082013,4199.257313,3903.794075,3735.745157,3662.898597,
001_39_child_FS_3_web_Test_83_wr_4_w,1,39,FS,UW1,web,3,0.095,0.17,wr,w,83,487.8,368.3368129,379.128066,306.9,333.4118345,342.0841401,514.4,317.3125711,324.8464212,475.4,343.0292119,351.151313,758.2,378.3354699,399.6240209,1895.2,1160.954736,1200.905368,1757.1,1138.071847,1175.519482,1684,1198.08041,1248.292279,1599,1576.39081,1583.889299,1671.2,1579.862901,1584.206517,3178.6,3449.377082,3450.717962,3355.2,3343.498218,3303.204136,3156.7,3515.246054,3560.995981,3010.1,3159.838007,3093.881323,3069.5,3105.172954,4353.008687,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,379.128066,333.4118345,324.8464212,351.151313,399.6240209,1200.905368,1175.519482,1248.292279,1583.889299,1584.206517,3449.377082,3343.498218,3515.246054,3093.881323,3105.172954,
001_39_child_FS_3_wet_Test_85_wr_4_w,1,39,FS,UW1,wet,3,0.095,0.17,wr,w,85,526.1,410.5820112,412.851195,619.3,406.4722283,424.6611992,775,454.4259204,475.8725189,778.2,589.2175461,605.6340314,900.7,737.6425424,737.6773124,1341.3,1224.430757,1227.12398,1337.7,1146.839325,1141.631533,1386.9,1273.010645,1283.958486,1929.8,1445.720769,1450.914831,2314.5,1906.417873,1887.616975,2966.1,3355.937727,3284.987563,2743.4,3838.877924,2292.535851,2625.8,2404.316753,2366.823966,3226,2577.042897,2505.091469,3159,3315.859804,3048.394134,399,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,412.851195,424.6611992,475.8725189,605.6340314,737.6773124,1227.12398,1146.839325,1283.958486,1450.914831,1906.417873,3284.987563,2743.4,2404.316753,2577.042897,3159,
