'sound$','word$','test$','tran$','timeLab','f1','f2','f3',f3f2
RealWordRep_001L39FS3,red,Test2,$other,109.4916156,433.9027109,2424.883698,3728.935332,1304.051634
RealWordRep_001L39FS3,rabbit,Test3,$other,115.490322,404.3166654,2400.342403,3586.347875,1186.005472
RealWordRep_001L39FS3,wet,Test7,w:$r,165.8340658,572.5551185,1763.836929,3477.061826,1713.224897
RealWordRep_001L39FS3,web,Test14,$other,233.2801247,738.8277523,2380.954309,3595.543344,1214.589035
RealWordRep_001L39FS3,rock,Test16,$w:r,260.0881066,712.6096688,2261.299963,3838.318475,1577.018512
RealWordRep_001L39FS3,take,Test21,TranscribeMe!,309.8084009,1021.722306,2632.142941,2864.568926,232.4259845
RealWordRep_001L39FS3,reading,Test28,$w:r,371.5011804,468.0003462,2579.513562,3780.378953,1200.865392
RealWordRep_001L39FS3,rocking,Test32,$w:r,392.0969063,612.7720743,2384.392767,4247.181547,1862.788779
RealWordRep_001L39FS3,window,Test41,$other,497.4342914,397.4246828,2046.874487,4026.676897,1979.80241
RealWordRep_001L39FS3,water,Test45,w,515.1985072,481.9702618,2292.068313,3141.31146,849.2431471
RealWordRep_001L39FS3,wheel,Test50,$other,553.9626134,1916.330218,3093.917256,4463.104204,1369.186948
RealWordRep_001L39FS3,watch,Test54,w,580.3314097,362.2497447,2325.014921,3825.653329,1500.638408
RealWordRep_001L39FS3,waiting,Test56,w,603.6636772,457.8845252,2033.999281,3324.88287,1290.883588
RealWordRep_001L39FS3,walk,Test63,w,669.3526672,214.9960141,2379.209334,4214.781656,1835.572321
RealWordRep_001L39FS3,rain,Test64,$w:r,673.8078057,364.3817136,1848.366486,3448.81519,1600.448704
RealWordRep_001L39FS3,ring,Test66,$other,699.8562642,620.9727816,2043.565503,4060.078019,2016.512516
RealWordRep_001L39FS3,wind,Test68,$other,710.8106009,1572.916247,2915.695368,4200.471979,1284.776611
RealWordRep_001L39FS3,rabbit,Test77,$other,782.0986518,945.1829472,2019.866719,3382.518914,1362.652195
RealWordRep_001L39FS3,red,Test79,$other,791.7799735,555.6869563,3020.172252,3716.020795,695.8485423
RealWordRep_001L39FS3,rock,Test82,$w:r,821.3151882,1729.431411,3539.376712,4993.014256,1453.637544
RealWordRep_001L39FS3,web,Test83,w:$r,834.6879122,551.2820697,1965.861395,3550.956142,1585.094747
RealWordRep_001L39FS3,wet,Test85,w:$r,868.0930877,527.691433,2303.073912,3652.877843,1349.803931
RealWordRep_002L51FS4,web,Test5,w,176.6931305,401.4366627,2531.669785,4183.345461,1651.675676
RealWordRep_002L51FS4,wet,Test7,w,189.9778754,1087.416745,3306.857566,4654.852644,1347.995078
RealWordRep_002L51FS4,rock,Test8,r:$w,195.5770944,481.0239811,1658.841395,3499.768666,1840.92727
RealWordRep_002L51FS4,rabbit,Test9,r:$w,200.3456625,935.6949909,2562.656869,4163.057702,1600.400832
RealWordRep_002L51FS4,red,Test11,r:$w,214.1858185,832.9774264,1676.526695,3290.557485,1614.030789
RealWordRep_002L51FS4,wind,Test20,w,277.1234534,768.6028727,2268.443285,3882.383904,1613.94062
RealWordRep_002L51FS4,wheel,Test25,w,301.032669,366.3299548,2014.489363,3571.241233,1556.75187
RealWordRep_002L51FS4,window,Test31,w,338.9819655,417.2864635,1663.504466,3280.241594,1616.737128
RealWordRep_002L51FS4,ring,Test32,$w:r,342.4428325,1154.096507,1723.555565,3659.870893,1936.315328
RealWordRep_002L51FS4,raisins,Test34,r:$w,366.404503,848.9746349,1541.980571,3417.203694,1875.223124
RealWordRep_002L51FS4,waiting,Test42,w,473.3834348,503.5285059,1323.157125,3469.524772,2146.367647
RealWordRep_002L51FS4,walk,Test45,w,506.9274503,400.8242911,2141.555326,3339.371665,1197.816339
RealWordRep_002L51FS4,watch,Test48,w,522.9755532,541.1126967,2162.268412,3699.665689,1537.397277
RealWordRep_002L51FS4,washer,Test49,w,528.157576,1138.46461,2550.850838,4174.096013,1623.245175
RealWordRep_002L51FS4,rain,Test56,$w:r,562.3906698,1437.565567,3060.288241,4009.518056,949.2298143
RealWordRep_002L51FS4,rocking,Test59,$other,598.3416739,1154.274837,1496.067859,2832.756231,1336.688372
RealWordRep_002L51FS4,water,Test62,w,611.0651307,624.231785,1885.690727,3731.914547,1846.223821
